,Date,resting_HR,average_stress,sleeping_hours
287,2020-11-14,55.0,24.0,8.933333333333334
288,2020-11-15,53.0,30.0,6.766666666666667
289,2020-11-16,53.0,25.0,7.633333333333334
290,2020-11-17,49.0,18.0,8.45
291,2020-11-18,50.0,30.0,8.283333333333333
292,2020-11-19,52.0,28.0,8.3
293,2020-11-20,55.0,27.0,6.333333333333333
294,2020-11-21,52.0,30.0,9.083333333333334
295,2020-11-22,56.0,26.0,7.966666666666667
296,2020-11-23,51.0,25.0,7.683333333333334
297,2020-11-24,52.0,19.0,7.966666666666667
298,2020-11-25,49.0,20.0,8.35
299,2020-11-26,50.0,30.0,7.35
300,2020-11-27,56.0,26.0,7.033333333333333
301,2020-11-28,51.0,30.0,7.916666666666667
302,2020-11-29,50.0,25.0,6.083333333333333
303,2020-11-30,50.0,21.0,8.4
304,2020-12-01,52.0,26.0,7.666666666666667
305,2020-12-02,49.0,24.0,7.916666666666667
306,2020-12-03,50.0,28.0,8.683333333333334
307,2020-12-04,53.0,39.0,
308,2020-12-05,50.0,36.0,
309,2020-12-06,52.0,22.0,11.25
310,2020-12-07,50.0,24.0,6.816666666666666
311,2020-12-08,54.0,25.0,9.283333333333333
312,2020-12-09,51.0,27.0,7.45
313,2020-12-10,51.0,25.0,7.833333333333333
314,2020-12-11,51.0,28.0,8.033333333333333
315,2020-12-12,57.0,66.0,
316,2020-12-13,60.0,42.0,4.866666666666666
317,2020-12-14,56.0,26.0,7.616666666666666
318,2020-12-15,51.0,24.0,7.483333333333333
319,2020-12-16,54.0,29.0,8.583333333333334
320,2020-12-17,54.0,22.0,8.716666666666667
321,2020-12-18,54.0,21.0,8.65
322,2020-12-19,55.0,28.0,8.2
323,2020-12-20,54.0,22.0,10.3
324,2020-12-21,52.0,37.0,7.1
325,2020-12-22,57.0,38.0,
326,2020-12-23,54.0,27.0,
327,2020-12-24,50.0,21.0,6.883333333333334
328,2020-12-25,52.0,27.0,9.183333333333334
329,2020-12-26,52.0,28.0,7.683333333333334
330,2020-12-27,53.0,25.0,10.433333333333334
331,2020-12-28,54.0,24.0,7.9
332,2020-12-29,50.0,21.0,9.533333333333333
333,2020-12-30,52.0,25.0,8.483333333333333
334,2020-12-31,53.0,29.0,7.916666666666667
335,2021-01-01,53.0,20.0,7.083333333333333
336,2021-01-02,52.0,17.0,8.583333333333334
337,2021-01-03,51.0,16.0,9.5
338,2021-01-04,53.0,31.0,7.666666666666667
339,2021-01-05,51.0,22.0,8.566666666666666
340,2021-01-06,52.0,27.0,7.35
341,2021-01-07,51.0,27.0,7.2
342,2021-01-08,52.0,29.0,7.116666666666666
343,2021-01-09,51.0,26.0,9.05
344,2021-01-10,51.0,29.0,7.383333333333334
345,2021-01-11,51.0,25.0,7.483333333333333
346,2021-01-12,52.0,26.0,7.283333333333333
347,2021-01-13,52.0,30.0,7.9
348,2021-01-14,52.0,27.0,7.35
349,2021-01-15,53.0,25.0,7.983333333333333
350,2021-01-16,53.0,33.0,7.416666666666667
351,2021-01-17,53.0,36.0,7.166666666666667
352,2021-01-18,52.0,23.0,8.416666666666666
353,2021-01-19,50.0,24.0,7.966666666666667
354,2021-01-20,50.0,30.0,7.283333333333333
355,2021-01-21,56.0,27.0,
356,2021-01-22,52.0,27.0,7.566666666666666
357,2021-01-23,54.0,24.0,9.166666666666666
358,2021-01-24,50.0,28.0,9.066666666666666
359,2021-01-25,56.0,30.0,5.033333333333333
360,2021-01-26,53.0,27.0,6.9
361,2021-01-27,58.0,35.0,8.183333333333334
362,2021-01-28,57.0,13.0,7.116666666666666
363,2021-01-29,,,
364,2021-01-30,,,
365,2021-01-31,,,
